Country,Date,Headline,Link,,,,
Italy,28-Apr,Italy's restaurants and bars open their doors as COVID-19 restrictions ease ,https://newseu.cgtn.com/news/2021-04-27/Italy-s-restaurants-and-bars-open-doors-as-COVID-19-restrictions-ease--ZMHwmJNCQ8/index.html,,,,
Italy,28-Apr,A Small Italian Island Is Set to Win Big From Europe’s Tourism Revival,https://www.bloombergquint.com/onweb/covid-travel-news-italy-island-ischia-set-to-win-from-europe-tourism,,,,
Italy,28-Apr,Italy approves post-covid recovery plan,https://www.wantedinrome.com/news/italy-approves-post-covid-recovery-plan.html,,,,
Italy,28-Apr,"Italy reports 373 coronavirus deaths on Tuesday, 10,404 new cases",https://www.reuters.com/world/europe/italy-reports-373-coronavirus-deaths-tuesday-10404-new-cases-2021-04-27/,,,,
Germany,28-Apr,Cologne: Life under Germany's COVID curfew,https://www.dw.com/en/cologne-life-under-germanys-covid-curfew/av-57356445,,,,
Germany,28-Apr,Germany upgrades 2021 growth forecast amid vaccine hopes,https://www.dw.com/en/germany-upgrades-2021-growth-forecast-amid-vaccine-hopes/a-57349576,,,,
Germany,28-Apr,Germany puts COVID-19 protest group under surveillance,https://www.aa.com.tr/en/europe/germany-puts-covid-19-protest-group-under-surveillance/2223400,,,,
Germany,28-Apr,Germany aims to open Covid-19 vaccinations to all adults by June,https://www.straitstimes.com/world/europe/germany-to-open-covid-19-vaccinations-to-all-adults,,,,
Germany,28-Apr,Germany & Italy Ban Travel From India Due to COVID-19 Situation,https://www.schengenvisainfo.com/news/germany-italy-ban-travel-from-india-due-to-covid-19-situation/,,,,
Spain,28-Apr,Spain to welcome overseas travellers with Covid certificates from June,https://www.theguardian.com/world/2021/apr/27/spain-to-welcome-overseas-travellers-with-covid-certificates-from-june,,,,
Spain,28-Apr,"No sign of infection after test concert in Spain, researchers say",https://www.bbc.com/news/world-europe-56899764,,,,
Spain,28-Apr,Covid: Spain hopes for tourists as EU votes on digital passports,https://www.bbc.com/news/world-europe-56912667,,,,
Spain,28-Apr,"Third wave of COVID-19 in Madrid, Spain",https://www.ijidonline.com/article/S1201-9712(21)00386-6/fulltext,,,,
Spain,28-Apr,Bank of Spain warns of tough post-Covid economic legacy for youths,https://english.elpais.com/economy_and_business/2021-04-27/bank-of-spain-warns-of-tough-post-covid-economic-legacy-for-youths.html,,,,
France,28-Apr,France’s Macron expected to announce easing of COVID rules in coming days - minister,https://www.reuters.com/world/europe/frances-macron-expected-announce-easing-covid-rules-coming-days-minister-2021-04-27/,,,,
France,28-Apr,Macron: France Covid lockdown will end ‘in stages’ from May 3,https://www.connexionfrance.com/French-news/Macron-France-Covid-lockdown-will-end-in-stages-from-May-3-including-terraces-and-public-spaces,,,,
France,28-Apr,Macron to outline plans to ease Covid-19 restrictions in Friday address,https://www.france24.com/en/live-news/20210428-french-president-macron-to-update-france-on-covid-19-situation-friday,,,,
France,28-Apr,France Plans Talks on U.S. Flights as It Trials Vaccine Passport,https://www.bloomberg.com/news/articles/2021-04-27/france-starts-vaccine-passport-trials-in-bid-to-reopen-travel,,,,
France,28-Apr,Covid advisory body: France must prepare for spread of Brazil variant,https://www.connexionfrance.com/French-news/Covid-advisory-body-France-must-prepare-for-spread-of-Brazil-variant,,,,
UK,28-Apr,India Covid: First UK aid arrives as coronavirus deaths mount,https://www.bbc.com/news/world-asia-india-56898654,,,,
UK,28-Apr,Covid-19: UK Indians rally to help during Covid crisis,https://www.bbc.com/news/uk-56909285,,,,
UK,28-Apr,Vaccinating adolescents could help prevent third wave of Covid in UK – study,https://www.theguardian.com/world/2021/apr/28/vaccinating-adolescents-could-help-prevent-third-wave-of-covid-in-uk-study,,,,
UK,28-Apr,Leading scientists urge UK to share Covid vaccines with poorer nations,https://www.theguardian.com/world/2021/apr/28/leading-scientists-urge-uk-to-share-covid-vaccines-with-poorer-nations,,,,
UK,28-Apr,UK survey finds rising unease about AstraZeneca COVID-19 vaccine,https://www.reuters.com/world/uk/uk-survey-finds-rising-unease-about-astrazeneca-covid-19-vaccine-2021-04-27/,,,,
Netherlands,21-Apr,Dutch ease lockdown despite high COVID-19 infection rates,https://www.reuters.com/business/healthcare-pharmaceuticals/dutch-set-ease-lockdown-despite-high-covid-19-infection-rates-2021-04-20/,,,,
Netherlands,21-Apr,"Coronavirus digest: Netherlands lifts curfew, opens cafes",https://www.dw.com/en/coronavirus-digest-netherlands-lifts-curfew-opens-cafes/a-57271590,,,,
Netherlands,21-Apr,"Dutch to lift Covid curfew, let cafes serve outdoors",https://www.france24.com/en/live-news/20210420-dutch-to-lift-covid-curfew-let-cafes-serve-outdoors,,,,
Netherlands,21-Apr,Netherlands: Authorities to ease domestic COVID-19-related restrictions from April 28 /update 33,https://crisis24.garda.com/insights-intelligence/intelligence/risk-alerts/wip10011974934/netherlands-authorities-to-ease-domestic-covid-19-related-restrictions-from-april-28-update-33,,,,
Netherlands,21-Apr,Dutch set to ease lockdown despite high COVID-19 infection rates,https://www.channelnewsasia.com/news/world/dutch-set-to-ease-lockdown-despite-high-covid-19-infection-rates-14658798,,,,
Italy,21-Apr,Italy: Italian Employers Now Allowed To Organize COVID-19 Vaccination Clinics In The Workplace ,https://www.mondaq.com/italy/health-safety/1059742/italian-employers-now-allowed-to-organize-covid-19-vaccination-clinics-in-the-workplace,,,,
Italy,21-Apr,"COVID-19: Rules on quarantine, testing, travel from Brazil updated",https://www.balglobal.com/bal-news/italy-covid-19-rules-on-quarantine-testing-travel-from-brazil-updated/,,,,
Italy,21-Apr,Italy To Ease Covid-19 Restrictions ,https://www.garda.com/crisis24/news-alerts/463806/italy-authorities-to-ease-covid-19-related-entry-restrictions-for-travelers-from-the-uk-austria-and-israel-starting-april-7-update-42,,,,
Italy,21-Apr,"Italy Set to Miss Vaccination Target, Bets on Supply Boost",https://www.bloomberg.com/news/articles/2021-04-21/italy-set-to-miss-vaccination-target-bets-on-supply-boost,,,,
Italy,21-Apr,Italy lifts antivirus curbs with new decree,https://www.aa.com.tr/en/europe/italy-lifts-antivirus-curbs-with-new-decree/2216419,,,,
Germany,21-Apr,Germany Covid: MPs back new lockdown law as protest is broken up,https://www.bbc.com/news/world-europe-56829377,,,,
Germany,21-Apr,ANALYSIS - Merkel under fire for failed coronavirus response,https://www.aa.com.tr/en/analysis/analysis-merkel-under-fire-for-failed-coronavirus-response/2214361,,,,
Germany,21-Apr,Germany contained Covid-19. Politics brought it back.,https://www.vox.com/22352348/germany-covid-19-coronavirus-pandemic,,,,
Germany,21-Apr,Coronavirus: German clinics warn of supply shortages for non-COVID patients,https://www.dw.com/en/coronavirus-german-clinics-warn-of-supply-shortages-for-non-covid-patients/a-57271772,,,,
Germany,21-Apr,German parliament advances bill to give Merkel more powers over coronavirus measures ,https://www.politico.eu/article/germany-parliament-bundestag-angela-merkel-government-coronavirus-powers/,,,,
Spain,21-Apr,Spain Extends Travel Ban for Third Countries With COVID-19 Variants for Another Two Weeks,https://www.schengenvisainfo.com/news/spain-extends-travel-ban-for-third-countries-with-covid-19-variants-for-another-two-weeks/,,,,
Spain,21-Apr,Spain: Fully vaccinated people outnumber COVID-19 cases,https://www.aa.com.tr/en/europe/spain-fully-vaccinated-people-outnumber-covid-19-cases/2215150,,,,
Spain,21-Apr,Spain – COVID-19: Extension of Travel Restrictions to 30 April,https://assets.kpmg/content/dam/kpmg/xx/pdf/2021/04/fa21-117.pdf,,,,
Spain,21-Apr,Spain: Government extends certain COVID-19-related entry restrictions until at least May 3 /update 46,https://crisis24.garda.com/insights-intelligence/intelligence/risk-alerts/wip10011864047/spain-government-extends-certain-covid-19-related-entry-restrictions-until-at-least-may-3-update-46,,,,
Spain,21-Apr,Covid infection rates hit ‘extreme’ risk level in half of Spain ,https://www.thelocal.com/20210420/covid-infection-rates-hit-extreme-risk-level-in-half-of-spain/,,,,
France,21-Apr,France launches COVID health pass for travel to its overseas territories,France launches COVID health pass for travel to its overseas territories,,,,
France,21-Apr,How France’s Covid ‘health passport’ will work this summer,https://www.thelocal.fr/20210420/france-moves-towards-health-pass-with-vaccination-and-test-certificates-on-covid-tracking-app/,,,,
France,21-Apr,France is first EU member state to start testing digital Covid travel certificate,https://www.theguardian.com/world/2021/apr/20/france-is-first-eu-member-state-to-start-testing-digital-covid-travel-certificate,,,,
France,21-Apr,France ‘to start easing Covid-19 travel restrictions in May’,https://www.france24.com/en/europe/20210421-france-to-start-easing-covid-19-travel-restrictions-in-may,,,,
France,21-Apr,France launches coronavirus travel pass,https://www.politico.eu/article/france-launch-coronavirus-travel-pass/,,,,
UK,21-Apr,"Covid UK: coronavirus cases, deaths and vaccinations today",https://www.theguardian.com/world/2021/may/28/covid-uk-coronavirus-cases-deaths-and-vaccinations-today,,,,
UK,21-Apr,"COVID-19: UK reports another 33 coronavirus deaths and 2,524 new cases - as 33 million have received first vaccine dose",https://news.sky.com/story/covid-19-uk-reports-another-33-coronavirus-deaths-and-2-524-new-cases-as-33-million-have-received-first-vaccine-dose-12281392,,,,
UK,21-Apr,Covid: Plan for pills to treat virus at home by autumn,https://www.bbc.com/news/health-56823627,,,,
UK,21-Apr,British PM Johnson launches search for COVID-19 antiviral treatments,https://www.reuters.com/world/uk/british-pm-johnson-launches-search-covid-19-antiviral-treatments-2021-04-20/,,,,
UK,21-Apr,Johnson Warns of New Covid Wave as U.K. Plans to Live With Virus,https://www.bloomberg.com/news/articles/2021-04-20/u-k-targets-home-covid-19-treatments-ahead-of-winter-flu-season,,,,
Netherlands,14-Apr,Dutch govt says it’s too early to start easing the lockdown,https://apnews.com/article/public-health-mark-rutte-netherlands-coronavirus-pandemic-44668333b11c853155c94a4b2adce974,,,,
Netherlands,14-Apr,Dutch PM Rutte extends pandemic lockdown as infections rise,https://www.reuters.com/world/europe/dutch-face-prospect-extended-lockdown-amidst-rising-infections-2021-04-13/,,,,
Netherlands,14-Apr,Dutch face prospect of extended lockdown amidst rising COVID-19 infections,https://www.channelnewsasia.com/news/world/dutch-face-prospect-of-extended-lockdown-amidst-rising-covid-19-14613740,,,,
Netherlands,14-Apr,Dutch government presents five-step plan for lifting lockdown,https://www.iamexpat.nl/expat-info/dutch-expat-news/dutch-government-presents-five-step-plan-lifting-lockdown,,,,
Netherlands,14-Apr,Dutch government to introduce new strategy to speed up vaccinations,https://www.iamexpat.nl/expat-info/dutch-expat-news/dutch-government-introduce-new-strategy-speed-vaccinations,,,,
Italy,14-Apr,These small Italian islands could be COVID-free in time for summer holidays ,https://www.euronews.com/travel/2021/04/14/these-small-italian-islands-could-be-covid-free-in-time-for-summer-holidays,,,,
Italy,14-Apr,COVID-19: Whistleblower claims WHO tried to force him to change report about Italy's pandemic protocols,https://news.sky.com/story/covid-19-whistleblower-claims-who-tried-to-force-him-to-change-report-about-italys-pandemic-protocols-12274621,,,,
Italy,14-Apr,Travelling to Italy from abroad - COVID19,https://www.eui.eu/en/public/covid-19-information/travelling-to-italy-from-abroad-covid19,,,,
Italy,14-Apr,Italy Introduces ‘COVID-Free Islands’ Vaccination Plan to Revive Summer Tourism Season,https://www.schengenvisainfo.com/news/italy-introduces-covid-free-islands-vaccination-plan-to-revive-summer-tourism-season/,,,,
Italy,14-Apr,Italy gets first batch of Johnson & Johnson covid-19 vaccine,https://www.wantedinrome.com/news/italy-gets-first-batch-of-johnson-johnson-covid-19-vaccine.html,,,,
Germany,14-Apr,German Cabinet approves uniform COVID measures nationwide,https://www.dw.com/en/german-cabinet-approves-uniform-covid-measures-nationwide/a-57178073,,,,
Germany,14-Apr,COVID-19: Germany looks to federalize virus laws,https://www.dw.com/en/covid-19-germany-looks-to-federalize-virus-laws/av-57185759,,,,
Germany,14-Apr,German Chancellor Seeks Nationwide COVID-19 Restrictions ,https://www.voanews.com/europe/german-chancellor-seeks-nationwide-covid-19-restrictions,,,,
Germany,14-Apr,Merkel bids for powers to impose a nationwide COVID lockdown,https://www.euronews.com/2021/04/13/merkel-bids-for-powers-to-impose-a-nationwide-covid-lockdown,,,,
Germany,14-Apr,Merkel Forges Ahead With Push for Control Over Covid Curbs,https://www.bloomberg.com/news/articles/2021-04-13/merkel-s-cabinet-to-pass-lockdown-law-to-tackle-surge-in-cases,,,,
Spain,14-Apr,"Spain to focus COVID-19 recovery funds on ecological transition, digitalisation",https://www.euractiv.com/section/economy-jobs/news/spain-to-focus-covid-19-recovery-funds-on-ecological-transition-digitalisation/,,,,
Spain,14-Apr,Spain: Government maintaining COVID-19-related restrictions as of April 13 /update 45,https://crisis24.garda.com/insights-intelligence/intelligence/risk-alerts/wip10011864046/spain-government-maintaining-covid-19-related-restrictions-as-of-april-13-update-45,,,,
Spain,14-Apr,"As fourth coronavirus wave gains pace in Spain, experts call for tougher restrictions from regions",https://english.elpais.com/society/2021-04-13/as-fourth-coronavirus-wave-gains-pace-in-spain-experts-call-for-tougher-restrictions-from-regions.html,,,,
Spain,14-Apr,Spanish government resists pressure to extend state of alarm,https://english.elpais.com/society/2021-04-13/spanish-government-resists-pressure-to-extend-state-of-alarm.html,,,,
Spain,14-Apr,Low COVID-19 mortality in Spanish children,https://www.thelancet.com/journals/lanchi/article/PIIS2352-4642(21)00125-5/fulltext,,,,
France,14-Apr,France suspends all Brazil flights over Covid-19 variant fears,https://www.france24.com/en/europe/20210413-france-suspends-all-brazil-flights-over-covid-19-variant-fears,,,,
France,14-Apr,French patients with 'long Covid' face uphill battle to recovery,https://www.france24.com/en/tv-shows/focus/20210413-french-patients-with-long-covid-face-uphill-battle-to-recover,,,,
France,14-Apr,"Covid France: Drive-in vaccinations, variants… Latest update April 13",https://www.connexionfrance.com/French-news/Covid-France-Drive-in-vaccinations-Brazilian-and-South-African-variants-AstraZeneca-jab-Latest-update-April-13,,,,
France,14-Apr,"COVID: France suspends flights to, from Brazil",https://www.aa.com.tr/en/europe/covid-france-suspends-flights-to-from-brazil/2207959,,,,
France,14-Apr,Covid-19 to cost France nearly half a trillion euros over three years,https://www.rfi.fr/en/france/20210414-covid-19-to-cost-france-%E2%82%AC424billion-over-three-years,,,,
UK,14-Apr,'Mix and match' UK Covid vaccine trial expanded,https://www.bbc.com/news/health-56730526,,,,
UK,14-Apr,UK strategy of backing several Covid vaccines seems to be paying off,https://www.theguardian.com/society/2021/apr/13/uk-strategy-of-backing-several-covid-vaccines-seems-to-be-paying-off,,,,
UK,14-Apr,"UK COVID variant not more dangerous than original, say studies",https://www.euronews.com/2021/04/13/kent-covid-19-variant-more-infectious-but-not-more-severe-two-studies-find,,,,
UK,14-Apr,Get tested for coronavirus (COVID-19),https://www.nhs.uk/conditions/coronavirus-covid-19/testing/get-tested-for-coronavirus/,,,,
UK,14-Apr,COVID-19: 'No Evidence' That UK Variant Causes More Severe Disease,https://www.medscape.com/viewarticle/949163,,,,
Netherlands,07-Apr,COVID-19: Netherlands to Make Self-Test Kits Available to All Students and Staff by End of April,https://www.wittenborg.eu/covid-19-netherlands-make-self-test-kits-available-all-students-and-staff-end-april.htm,,,,
Netherlands,07-Apr,Lithuania Imposes Stricter Entry Rules for Arrivals From Belgium & the Netherlands,https://www.schengenvisainfo.com/news/lithuania-imposes-stricter-entry-rules-for-arrivals-from-belgium-the-netherlands/,,,,
Netherlands,07-Apr,"Weekly coronavirus update: 48.186 new cases, 142 deaths",https://www.iamexpat.nl/expat-info/dutch-expat-news/weekly-coronavirus-update-48186-new-cases-142-deaths,,,,
Netherlands,07-Apr,"Rice, tissues and toilet paper: What the Netherlands hoarded during coronavirus",https://www.iamexpat.nl/expat-info/dutch-expat-news/rice-tissues-and-toilet-paper-what-netherlands-hoarded-during,,,,
Netherlands,07-Apr,"Anti-Asian Prejudice,also in the Netherlands–Before,During Covid-19, and Beyond",https://www.rug.nl/hrm-ob/bloggen/anti-asian-prejudice-also-in-the-netherlands-before-during-covid-19-and-beyond,,,,
Italy,07-Apr,Covid-19: Italy makes vaccination mandatory for healthcare workers,https://www.bmj.com/content/373/bmj.n905,,,,
Italy,07-Apr,"Italy: Authorities to ease COVID-19-related entry restrictions for travelers from the UK, Austria, and Israel, starting April 7 /update 42",https://www.garda.com/crisis24/news-alerts/463806/italy-authorities-to-ease-covid-19-related-entry-restrictions-for-travelers-from-the-uk-austria-and-israel-starting-april-7-update-42,,,,
Italy,07-Apr,"Italy's mafias - boosted by Covid, now eyeing EU's billions",https://euobserver.com/coronavirus/151460,,,,
Italy,07-Apr,Italy sets new record for daily coronavirus deaths,https://www.aa.com.tr/en/europe/italy-sets-new-record-for-daily-coronavirus-deaths/2201437,,,,
Italy,07-Apr,Covid-19: red zone rules continue in Tuscany,https://www.theflorentine.net/2021/04/06/covid-19-red-zone-rules-continue-in-tuscany/,,,,
Germany,07-Apr,Coronavirus: Travel rules keep Vietnamese expats grounded in Germany,https://www.dw.com/en/coronavirus-travel-rules-keep-vietnamese-expats-grounded-in-germany/a-57108453,,,,
Germany,07-Apr,COVID pandemic pushes Germany to largest deficit since reunification,https://www.dw.com/en/covid-pandemic-pushes-germany-to-largest-deficit-since-reunification/a-57118164,,,,
Germany,07-Apr,Why is Germany struggling to stop a third-wave COVID crisis?,https://www.aljazeera.com/news/2021/4/6/why-is-germany-struggling-to-stop-a-third-wave-covid-crisis,,,,
Germany,07-Apr,German finance chief says Covid surge shows now is not the time to reopen economy,https://www.cnbc.com/2021/04/07/germanys-scholz-on-covid-crisis-vaccinations-and-higher-taxes.html,,,,
Germany,07-Apr,Merkel backs national lockdown in Germany – as it happened,https://www.theguardian.com/world/live/2021/apr/07/coronavirus-live-news-eu-drug-agency-to-respond-to-astrazeneca-blood-clot-concerns-delhi-imposes-curfew,,,,
Spain,07-Apr,Spain Prolongs Travel Restrictions for Third Countries With COVID-19 Mutations,https://www.schengenvisainfo.com/news/spain-prolongs-travel-restrictions-for-third-countries-with-covid-19-mutations/,,,,
Spain,07-Apr,Spain still plans to lift state of emergency next month,https://www.aa.com.tr/en/europe/spain-still-plans-to-lift-state-of-emergency-next-month/2200278,,,,
Spain,07-Apr,Gibraltar slowly returns to pre-pandemic normality,https://www.dw.com/en/gibraltar-slowly-returns-to-pre-pandemic-normality/a-57106164,,,,
Spain,07-Apr,Spanish prime minister: 33m people will be vaccinated by end of August,https://english.elpais.com/politics/2021-04-06/spanish-prime-minister-33-million-people-will-be-vaccinated-by-the-end-of-august.html,,,,
Spain,07-Apr,Spain’s ICUs under mounting pressure as coronavirus cases rise: ‘The situation is very worrying’,https://english.elpais.com/society/2021-04-06/spains-icus-under-mounting-pressure-as-coronavirus-cases-rise-the-situation-is-very-worrying.html,,,,
France,07-Apr,Covid-19: France's biggest stadium becomes giant vaccination centre,https://www.france24.com/en/france/20210406-france-s-biggest-stadium-becomes-giant-covid-vaccination-centre,,,,
France,07-Apr,France and Spain ramp up COVID-19 vaccinations as cases surge,https://www.euronews.com/2021/04/06/france-and-spain-ramp-up-covid-19-vaccinations-as-cases-surge,,,,
France,07-Apr,France's COVID-19 hospitalisations at a near five-month high,https://www.reuters.com/article/us-health-coronavirus-france-infections-idUSKBN2BT2IE,,,,
France,07-Apr,When will life return to normal in France after Covid-19?,https://www.connexionfrance.com/French-news/When-will-life-return-to-normal-in-France-after-Covid-19,,,,
France,07-Apr,Covidliste: Get a Covid vaccination from leftover doses in France,https://www.connexionfrance.com/French-news/Covidliste-Get-a-Covid-vaccination-from-leftover-doses-in-France-using-new-website,,,,
UK,07-Apr,Covid: Child jabs halted in trial as adult clot link probed,https://www.bbc.com/news/health-56656356,,,,
UK,07-Apr,Covid: Moderna vaccine UK rollout begins in Wales,https://www.bbc.com/news/uk-wales-56657038,,,,
UK,07-Apr,The UK cannot ignore Mexico’s Covid crisis,https://www.theguardian.com/world/2021/apr/06/the-uk-cannot-ignore-mexico-covid-crisis,,,,
UK,07-Apr,COVID news live - latest updates: New UK guidance on AstraZeneca-Oxford vaccine over blood clot 'link',https://news.sky.com/story/covid-news-live-latest-uk-updates-coronavirus-robustly-associated-with-risk-of-psychiatric-and-neurological-conditions-12268094,,,,
UK,07-Apr,COVID-19: Number of daily first vaccine doses in UK falls to lowest since early January,https://news.sky.com/story/covid-19-number-of-daily-first-vaccine-doses-in-uk-falls-to-lowest-since-early-january-12267624,,,,
Netherlands,01-Apr,Netherlands cuts nightly curfew by an hour despite rising Covid cases,https://www.irishtimes.com/news/world/europe/netherlands-cuts-nightly-curfew-by-an-hour-despite-rising-covid-cases-1.4525412,,,,
Netherlands,01-Apr,Fifteen hundred party at music festival with Covid testing,https://www.avinteractive.com/markets/live-events/fifteen-hundred-party-pilot-music-festival-covid-testing-31-03-2021/,,,,
Netherlands,01-Apr,Caribbean Netherlands: Authorities maintain in place COVID-19-related international travel protocols as of March 31 /update 17,https://www.garda.com/crisis24/news-alerts/461996/caribbean-netherlands-authorities-maintain-in-place-covid-19-related-international-travel-protocols-as-of-march-31-update-17,,,,
Netherlands,01-Apr,First Covid self-tests now available at Dutch pharmacies,https://www.garda.com/crisis24/news-alerts/461996/caribbean-netherlands-authorities-maintain-in-place-covid-19-related-international-travel-protocols-as-of-march-31-update-17,,,,
Netherlands,01-Apr,COVID-19 #18 | Netherlands’ agreement with Belgium extended until 1 July 2021,https://limes-int.com/covid-19-18-netherlands-agreement-with-belgium-extended-until-1-july-2021/,,,,
Italy,01-Apr,Italy Pushes Back as Health Care Workers Shun Covid Vaccines,https://www.nytimes.com/2021/03/31/world/europe/italy-covid-vaccines-health-workers.html,,,,
Italy,01-Apr,Italy extends coronavirus restrictions through April,https://medicalxpress.com/news/2021-03-italy-coronavirus-restrictions-april.html,,,,
Italy,01-Apr,Italy makes COVID-19 vaccine mandatory for all health workers,https://www.ctvnews.ca/health/coronavirus/italy-makes-covid-19-vaccine-mandatory-for-all-health-workers-1.5370115,,,,
Italy,01-Apr,COVID-19 information for the EUI community and visitors,https://www.eui.eu/en/public/covid-19-information,,,,
Italy,01-Apr,Italy makes COVID-19 vaccine mandatory for all health workers,https://www.reuters.com/article/us-health-coronavirus-italy-vaccine-idUSKBN2BN34F,,,,
Germany,01-Apr,Germany's COVID vaccinations hit Easter snag,https://www.dw.com/en/germanys-covid-vaccinations-hit-easter-snag/a-57064215,,,,
Germany,01-Apr,Germany Now Requires Compulsory Test Results for All Incoming Flight Passengers,https://www.schengenvisainfo.com/news/germany-now-requires-compulsory-test-results-for-all-incoming-flight-passengers/,,,,
Germany,01-Apr,Leaders of Covid-hit German states call for national lockdown,https://www.theguardian.com/world/2021/mar/31/germany-restricts-use-of-astrazeneca-jab-to-over-60s,,,,
Germany,01-Apr,Germany’s COVID sceptics fuelled by Russian media and far-Right conspiracies,https://www.opendemocracy.net/en/germanys-covid-sceptics-fuelled-by-russian-media-and-far-right-conspiracies/,,,,
Germany,01-Apr,Covid-19: EMA defends AstraZeneca vaccine as Germany and Canada halt rollouts,https://www.bmj.com/content/373/bmj.n883,,,,
Spain,01-Apr,Spain's infection rate moves into 'high risk' range,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/spains-infection-rate-moves-into-high-risk-range/2194446,,,,
Spain,01-Apr,Spanish Government urged to guarantee the right of access to information during the Covid-19 crisis,https://www.access-info.org/2020-04-27/spain-guarantee-access-information-covid19/,,,,
Spain,01-Apr,Fears of fourth coronavirus wave grow as Spain enters high-risk situation,https://english.elpais.com/society/2021-04-01/fears-of-fourth-coronavirus-wave-grow-as-spain-enters-high-risk-situation.html,,,,
Spain,01-Apr,"Spain reports 4,994 new coronavirus cases as seven territories enter high-risk level",https://english.elpais.com/society/2021-03-31/spain-reports-4994-new-coronavirus-cases-as-seven-territories-enter-high-risk-level.html,,,,
Spain,01-Apr,COVID-19: Digital vaccine certificates to help European travel 'ready in June at latest',https://news.sky.com/story/covid-19-digital-vaccine-certificates-to-be-ready-in-june-at-latest-says-spain-12261459,,,,
France,01-Apr,Covid: France schools to close under third lockdown,https://www.bbc.com/news/world-europe-56597319,,,,
France,01-Apr,France faces tough choice to slow down COVID infections,https://www.dw.com/en/france-faces-tough-choice-to-slow-down-covid-infections/a-57061128,,,,
France,01-Apr,"France to close schools and extend Covid-19 lockdown to all of the country, Macron says",https://www.france24.com/en/france/20210331-live-macron-addresses-france-as-covid-19-cases-resurge,,,,
France,01-Apr,Macron to address nation as France’s Covid-19 surge draws fire from critics,https://www.france24.com/en/france/20210331-macron-to-address-nation-as-france-s-covid-19-surge-draws-fire-from-critics,,,,
France,01-Apr,France to close schools and stop domestic travel after Covid surge,https://www.theguardian.com/world/2021/mar/31/macron-to-unveil-tough-measures-as-covid-cases-surge-in-france,,,,
UK,01-Apr,COVID-19: Malta to welcome fully vaccinated UK holidaymakers from June,https://news.sky.com/story/malta-to-welcome-fully-vaccinated-uk-holidaymakers-from-june-12261910,,,,
UK,01-Apr,Almost third of UK Covid hospital patients readmitted within four months,https://www.theguardian.com/world/2021/apr/01/almost-third-of-uk-covid-hospital-patients-readmitted-within-four-months,,,,
UK,01-Apr,Covid: Children 'well protected by Pfizer vaccine',https://www.bbc.com/news/health-56591429,,,,
UK,01-Apr,"UK COVID-19 Update: Germany Suspends Oxford Vaccine for Under-60s, and 'Third Wave' Intensifies in France",https://www.medscape.com/viewarticle/948345,,,,
UK,01-Apr,"Covid-19: Mass testing at UK universities is haphazard and unscientific, finds BMJ investigation",https://www.bmj.com/content/372/bmj.n848,,,,
Netherlands,28-Mar,Dutch people are partying like it's 2019,https://edition.cnn.com/travel/article/netherlands-festivals-intl/index.html,,,,
Netherlands,28-Mar,Netherlands: Churchgoers breaking COVID rules attack journalists,https://www.dw.com/en/netherlands-churchgoers-breaking-covid-rules-attack-journalists/a-57033027,,,,
Netherlands,28-Mar,Covid rapid test initiative aims to speed up spectators' return to big events,https://www.rfi.fr/en/europe/20210327-speedy-covid-testing-initiative-could-help-return-spectators-to-big-events-netherlands-europe-sports-fieldlab,,,,
Netherlands,28-Mar,"New Dutch coronavirus cases above 8,500, most since January -data",https://www.reuters.com/article/health-coronavirus-netherlands-tally-idUSS8N2JI06Q,,,,
Netherlands,28-Mar,Covid infections up 15% this week; Hospital cases up 8%,https://nltimes.nl/2021/03/28/covid-infections-15-week-hospital-cases-8,,,,
Italy,28-Mar,Italy: Hope and mourning in Bergamo,https://www.dw.com/en/italy-hope-and-mourning-in-bergamo/av-56911103,,,,
Italy,28-Mar,"UPDATE 1-Italy reports 297 coronavirus deaths and 19,611 new cases",https://www.reuters.com/article/health-coronavirus-italy-tally-idUSL1N2LQ0AR,,,,
Italy,28-Mar,Mystery of Italian Town’s 29 Million Shots Strains EU-Astra Ties,https://www.bloomberg.com/news/articles/2021-03-28/mystery-of-italian-town-s-29-million-shots-strains-eu-astra-ties,,,,
Italy,28-Mar,Italy: COVID-19 – The Ministry of Health prohibits the marketing and orders the withdrawal of medical devices irregularly placed on the Italian market,https://globalcompliancenews.com/italy-covid-19-prohibits-marketing-and-withdraws-medical-devices-irregulary-placed-on-italian-market090321/,,,,
Italy,28-Mar,COVID: Downward trend in Italy's population continues,https://www.aa.com.tr/en/europe/covid-downward-trend-in-italys-population-continues/2189712,,,,
Germany,28-Mar,COVID: German doctors call for 2-week hard lockdown,https://www.dw.com/en/covid-german-doctors-call-for-2-week-hard-lockdown/a-57023394,,,,
Germany,28-Mar,Coronavirus: Merkel aide warns of vaccine-resistant mutations,https://www.dw.com/en/coronavirus-merkel-aide-warns-of-vaccine-resistant-mutations/a-57029027,,,,
Germany,28-Mar,Heroes to zeros: how German perfectionism wrecked its Covid vaccine drive,https://www.theguardian.com/world/2021/mar/27/heroes-to-zeros-how-german-efficiency-wrecked-its-covid-vaccine-drive,,,,
Germany,28-Mar,"German Covid Easter U-turn shakes Merkel's cool, calm image",https://www.bbc.com/news/world-europe-56537390,,,,
